Date,1990_none,1990_ideal_d30,1995_none,1995_ideal_d30,2000_none,2000_ideal_d30,2005_none,2005_ideal_d30,2010_none,2010_ideal_d30,2015_none,2015_ideal_d30,2020_none,2020_ideal_d30
2022-03-11,69291189.72116853,449771920.7846532,32511837.168152295,75797959.4808455,30124899.053988803,107182012.08994569,10005277.183950607,29954271.23987253,9015890.189976979,12217685.742632499,3025000.738337639,3854869.9638301036,1643706.6600213675,1823239.818663081
2022-03-18,73871703.12553254,479416646.58700955,34347124.13297163,79666203.9698025,31739925.43671773,114280731.50106512,10551361.649576465,31433264.30287085,9480932.624754814,12807092.566847822,3258013.4659244646,4095925.596677586,1760803.6856783975,1946040.024327154
2022-03-25,73252420.85337871,481747855.67693645,34666646.605176225,81228978.90834172,31732404.76934055,114075381.93479197,10441155.149788626,31734590.350210577,9659300.572977701,13088297.742391696,3277582.972743752,4160230.818871585,1778624.7259412121,1965661.867549583
2022-04-01,73610087.14607006,484930741.5625885,34689475.51630957,80691337.74175593,31344841.35630339,113654463.4655198,10361135.335425815,31584730.75856183,9679813.79328181,13105091.988277543,3324191.843239898,4171385.7095456333,1767334.7195057082,1963359.564027249
2022-04-08,73324575.96168181,480003102.51869106,35085936.87216404,82182946.8260804,32943119.440147776,118048573.1623247,10577400.250552556,32162743.267501563,9630402.84961996,12985894.164603299,3288631.88876098,4091143.407886289,1760316.776759219,1945959.0879486375
2022-04-15,72549000.01599942,475266146.8725962,34425338.27864423,80701261.58273217,32826958.357247315,119700035.05573711,10457811.612727225,32126367.90062809,9436801.043648466,12746765.403847858,3222242.282151745,4032375.7059692717,1704839.5831103937,1899774.3484530004
2022-04-22,71769121.6939519,469823647.6588988,33894422.79303749,79759970.78283857,32480532.818231154,117599238.66647379,10279609.674225504,31761446.137535416,9169341.807900842,12346940.275881518,3179869.3086827006,3977403.687705904,1660404.422920451,1856248.4051726663
2022-04-29,70041383.94059518,457968978.9643394,33163293.763733633,77796725.26875864,30254780.327304237,112149678.07465291,10120354.825023862,31468036.419652745,8968605.431504378,12085909.498639204,3115323.914668628,3948149.060642588,1607884.544455728,1809030.9786245942
2022-05-06,68259859.94552658,449966322.5838019,32577719.8894954,77048720.78264005,30112662.693749037,112340027.50794777,9982711.22288954,31327723.467319347,8887115.011584828,12097174.540903315,3080446.509130776,3947754.8517769636,1587555.2764173513,1790876.666590717
2022-05-13,67265375.49023803,441860355.6981517,31932302.85103084,75757789.06522755,30008556.05484806,110546828.9598877,9711555.927557236,30540654.669154048,8629754.04514141,11814341.880499564,3014111.017859564,3871946.36856179,1578481.5625256817,1783137.8228502828
2022-05-20,64775436.234636545,426126387.4174715,30808600.90499276,73279661.40942638,27077618.314408343,96766640.80655284,9308788.088393897,29456204.092083212,8229915.256462875,11226470.9921735,2882916.664880606,3704039.23977564,1519672.716866369,1726736.8840406563
